Designator,Mid X,Mid Y,Rotation,Layer
C1,126.532,-39.878,0.0,top
D1,81.28,-35.56,0.0,top
D2,81.28,-39.37,0.0,top
D3,81.28,-69.215,0.0,top
D4,81.28,-73.025,0.0,top
D5,135.128,-48.26,90.0,top
D6,135.128,-59.69,90.0,top
D7,118.11,-70.358,0.0,top
J1,69.87,-41.91,0.0,top
J2,69.87,-49.71,0.0,top
J3,69.87,-57.51,0.0,top
J4,69.83,-65.549,0.0,top
J5,129.052,-49.53,0.0,top
J6,129.052,-57.33,0.0,top
J7,129.052,-65.13,0.0,top
J8,97.79,-73.152,90.0,top
R1,81.28,-43.18,0.0,top
R10,81.28,-59.055,0.0,top
R11,81.28,-55.88,0.0,top
R12,117.602,-66.675,180.0,top
R13,117.602,-63.5,180.0,top
R14,117.602,-60.325,180.0,top
R2,81.28,-46.355,0.0,top
R3,81.28,-49.53,0.0,top
R4,81.28,-52.705,0.0,top
R5,117.602,-50.165,180.0,top
R6,117.602,-53.4576,180.0,top
R7,117.602,-56.896,180.0,top
R8,81.28,-65.405,0.0,top
R9,81.28,-62.23,0.0,top
U1,99.06,-44.45,90.0,top
U2,99.06,-62.23,90.0,top
U3,115.57,-45.72,90.0,top
